"","V1"
" FRN : Paris attack mastermind visited terror sites rampage, French authorities say, fifth suspect ...:\\\\u2026 https://t.co/7gQryMzX10",2
" FRN : Sales Hemingway's 'A Moveable Feast' surge Paris attacks: In wake November 13 Paris\\\\u2026 https://t.co/BvbsJYVfo7",1
" FRN : Paris attacks ringleader 'was planning attack French capital': The suspected ringleader the\\\\u2026 https://t.co/UT2RHeZigg",2
" FRN : Obama pledges 'total solidarity' France Paris attacks: President Barack Obama meets President\\\\u2026 https://t.co/XgHkuB4vfY",1
" FRN : US, France step air strikes Islamic State following Paris attacks: French president Francois\\\\u2026 https://t.co/esO6lXe4Hr",2
" FRN : Paris ringleader 'planned attack business district': The suspected ringleader November 13 Paris\\\\u2026 https://t.co/iq9m7QjZWf",3
" FRN : Hostages northern French town safe, link Paris attacks: ... hostage situation northern French\\\\u2026 https://t.co/sjfEgxalnF",1
" FRN : Hostages taken French town safe; link Paris attacks: A hostage situation northern French\\\\u2026 https://t.co/6Mxj1rRxDO",1
" FRN : Hostage situation France linked Paris attacks: police sources: France remains high alert after\\\\u2026 https://t.co/Ckr11Y8yoN",1
" FRN : France, Belgium widen probe Paris attacks, Hollande wins US backing | Reuters: PARIS/BRUSSELS An\\\\u2026 https://t.co/n6D8ID1mQ7",1
" FRN : Ringleader Paris attacks planning bombing France: The main suspect Paris attacks\\\\u2026 https://t.co/dWwxQewnjV",2
" FRN : Paris ringleader planned business district suicide attack\\\\u2014prosecutor: Soldiers patrol Christmas market\\\\u2026 https://t.co/8TrN7t8dxz",3
" FRN : Paris Attacks: France Belgium Widen Their Investigation: 13 attacks Paris widened Tuesday when\\\\u2026 https://t.co/66pFKVy54E",2
" FRN : Belgium hunts 'dangerous' new Paris suspect: An investigation November 13 attacks Paris\\\\u2026 https://t.co/yLMfJvNs8g",1
" FRN : French authorities say Paris terror mastermind returned attack sites night: Molins said that\\\\u2026 https://t.co/J4qye15wBb",2
" FRN : Far From Paris, Shock Waves Attacks Shake Small-Town France: In aftermath deadly Paris attacks\\\\u2026 https://t.co/WVCjGvP8Tn",1
" FRN : Paris attackers exploit intelligence gaps remaining open: PARIS, France\\\\u2014The Paris attackers exploited\\\\u2026 https://t.co/DPvVhtDSkY",2
" FRN : Paris attack: France seeka Nigeria's help: Abuja \\\\u2013 Following terrorists' coordinated attacks Paris, France\\\\u2026 https://t.co/2xeXqXAU07",2
" FRN : France: Music plays candle-lit vigil victims Paris attacks: Video Id: 20151124-092; Title:\\\\u2026 https://t.co/eUra4R3r0L",3
" FRN : Daily Mail sparks fury France shocking Paris attacks video: British tabloid Daily Mail said\\\\u2026 https://t.co/yT6TQUwIMN",3
" FRN : France, Belgium widen probe Paris attacks: A general view scene shows rescue service personnel\\\\u2026 https://t.co/ndzF0LnfLE",2
" FRN : The Latest: BRUSSELS (AP) \\\\u2014 The latest attacks Paris security alert Brussels: 10:20 a.m.\\\\u2026 https://t.co/Bo8tyOwqoy",3
" FRN : Latest investigation November attacks Paris: The French authorities working dismantle\\\\u2026 https://t.co/YLmifZ4z1A",2
" FRN : Brussels lockdown continues; French grill man allegedly harbored Paris terrorists: PARIS \\\\u2013 French\\\\u2026 https://t.co/CgsJnvV8oo",2
" FRN : Hostages northern France safe, link Paris attacks: PARIS \\\\u2013 A hostage situation northern\\\\u2026 https://t.co/FGxSceME17",1
" FRN : Paris attacks boost popularity French Tricolor flag: PARIS \\\\u2014 A young Parisian stopped\\\\u2026 https://t.co/liRI6xitoe",3
" FRN : France Belgium widen probe Paris attacks: PARIS, Nov 25 \\\\u2014 An investigation November 13\\\\u2026 https://t.co/ScriMzEAHL",1
" FRN : France's Hollande heads Russia hoping Syria breakthrough: PARIS France's president heads Moscow on\\\\u2026 https://t.co/mrDAbLcXZc",1
" FRN : The Latest: Paris hotel business hit hard attacks: France world's tourist destinations.\\\\u2026 https://t.co/uIJuLzlNgp",2
" FRN : Paris attacks: France Belgium widen probe: PARIS/BRUSSELS \\\\u2022 An investigation Nov 13 attacks in\\\\u2026 https://t.co/2CAnc20z7s",1
" FRN : France, Belgium widen probe Paris attacks, Hollande wins US backing: Painting chilling picture of\\\\u2026 https://t.co/EGMB2Vi2X2",1
" FRN : French Lawmakers Vote Extend Airstrikes Against IS: 13 attacks killed 130 people Paris, while\\\\u2026 https://t.co/zkrej5dWrV",3
" The hashtag #TunisAttack took 18th place Top20 Paris's Trends Wednesday 25: https://t.co/rjLmWcyPKo #trndnl",3
" FRN : French Ambassador US Outrages Jewish Expats Over Post-Paris-Attack Message: \\\\u201cTonight French people the\\\\u2026 https://t.co/6SGVvHCsoN",3
" FRN : Paris Attack - France Seeka Nigeria's Help: Abuja \\\\u2014 Following terrorists' coordinated attacks Paris,\\\\u2026 https://t.co/yAplju0qVF",2
" FRN : Paris attacks boost popularity French Tricolor flag, reverse far-right connotations: One (when France\\\\u2026 https://t.co/PkAG3JFUeL",2
" FRN : In aftermath Paris attacks, French lawmakers vote extend airstrikes IS Syria: PARIS \\\\u2014 French\\\\u2026 https://t.co/TWs4gRIbwE",2
" FRN : In aftermath Paris attacks, French lawmakers vote extend airstrikes IS Syria: PARIS (AP) \\\\u2014\\\\u2026 https://t.co/Dc1BNmghQg",3
" FRN : The Paris attacks cost French economy $2 billion: The attacks Paris Nov. 13 took 130\\\\u2026 https://t.co/Kl2cnvebNu",2
" FRN : Hollande Meet Putin Bid Destroy ISIS Following Paris Attacks: French President Francois Hollande (L)\\\\u2026 https://t.co/UG6w8Okomf",3
" #PrayForParis #Architecture #BlackAndWhite #BW #DuncanLovesPhotography #Photographer\\\\u2026 https://t.co/AxMg5DVJW3",3
" FRN : Paul Pogba's France flag boots tribute victims Paris attacks: Juventus midfielder Paul Pogba paid\\\\u2026 https://t.co/b5uiZ7wLEn",2
" FRN : Paris terror attacks: Sister victim calls boycott national tribute France's 'security\\\\u2026 https://t.co/W0lUdhMFZK",2
" FRN : Organisers hope Paris attacks don't overshadow COP21 climate summit: One France's leading environmental\\\\u2026 https://t.co/nAGaCygtXf",3
" FRN : Paris Attacks Have Many France Eager Join Fight: PARIS \\\\u2014 The attacks Islamic State militants in\\\\u2026 https://t.co/LRCABkgikg",2
" FRN : Hamilton Accies' tribute Paris attack victims wearing French strip: After realising strip clash with\\\\u2026 https://t.co/UCSfIqJrTh",1
" FRN : Paris attacks: Away fans banned French football mid-December: Away fans banned all\\\\u2026 https://t.co/dJVADKCGbN",1
" FRN : Paris attacks victims' relatives boycott France's day mourning 'government fault': Families those\\\\u2026 https://t.co/PnOtDiq5eF",1
" FRN : Away fans banned France mid-December wake Paris attacks: St Etienne fans hold French flags in\\\\u2026 https://t.co/4hCWRHZ2NL",1
" FRN : France extends ban travelling fans: PSG's Thiago Silva speaks Paris attacks 2-1 away\\\\u2026 https://t.co/qyjLWHmXTh",1
" FRN : Away fans banned France mid-December wake Paris terrorist attacks: No away fans be\\\\u2026 https://t.co/EABveNvl5l",1
" FRN : Paris attacks: Away fans banned football matches France mid-December: Away fans been\\\\u2026 https://t.co/QSTW8rT8qr",1
" FRN : Away fans banned French football following Paris terrorist attacks: ... France state emergency\\\\u2026 https://t.co/7x15DPWTOj",1
" FRN : The Latest: Putin: Russia Ready Anti-Terror Cooperation: The latest attacks Paris security\\\\u2026 https://t.co/MGNqLSkium",3
" FRN : On High Alert Since Paris Attacks, French Gear Up Climate Talks: PARIS \\\\u2014 Just weeks the\\\\u2026 https://t.co/KXg7oJQ7WT",3
" #sofitellefaubourg #sofitel #paris #huawei #huaweishot #jesuisparis ##prayforparis #photo\\\\u2026 https://t.co/kyIFjHQ5Z7",3
" #concorde #paris #prayforparis #jesuisparis #photo #photographer #huawei #huaweishot @sofitelparisfbg\\\\u2026 https://t.co/INYqslKUeS",3
" FRN : France bans ALL visiting fans football matches Paris terror attacks: French authorities have\\\\u2026 https://t.co/8EdEpZ6DoK",1
" FRN : Surge French police, army sign-ups Paris attacks: PARIS - France's emergency services military\\\\u2026 https://t.co/aBL0quNIfP",2
" #jesuisparis #photographer #photo #huaweishot #jesuisparis #prayforparis @sofitelparisfbg @ Sofitel\\\\u2026 https://t.co/2d2YSEeQmG",3
" @sofitelparisfbg #paris #photo #huaweishot #prayforparis #jesuisparis @ Sofitel Paris Le Faubourg https://t.co/ltFWq6Fexc",3
" FRN : Surge French police, army sign-ups Paris attacks: Paris (AFP) - France's emergency services and\\\\u2026 https://t.co/QSCjvlCYGz",3
" FRN : Hollande heads Moscow discuss anti-ISIS efforts Paris attacks: French leader Francois Hollande\\\\u2026 https://t.co/l2ROLRWamn",1
" FRN : French State Of Emergency After Paris Attacks Criticized By Both Human-Rights Groups And Far ...: Security\\\\u2026 https://t.co/5pJjURk7Qt",2
" FRN : France's President Hollande Moscow Urges 'Grand Coalition' Against ISIS: Hollande diplomatic\\\\u2026 https://t.co/OGwtOUwxOx",3
" FRN : Liverpool news: French club Bordeaux thank UK Paris attack support ahead Europa League ...:\\\\u2026 https://t.co/WqMZR9K3hB",2
" #PrayForParis #Architecture #Art #BlackAndWhite #BW #DuncanLovesPhotography #Photographer\\\\u2026 https://t.co/c9hX2bSb5k",3
" FRN : France mourn Paris attack dead: Paris: France today mourn 130 people killed November 13\\\\u2026 https://t.co/dJY0Ki2JST",1
" FRN : France fights Paris attacks: It Paris, country, deep. But\\\\u2026 https://t.co/VLSuYNBdBm",1
" FRN : Germany offers France recon jets, frigate ISIS fight: In Paris, Elysee presidential palace said\\\\u2026 https://t.co/LnyD5YdLVO",1
" FRN : France mourn Paris attack dead: People placed flowers candles mourn victims killed in\\\\u2026 https://t.co/XzWWNoMDEj",1
" FRN : Paris Attacks: Plot Was Hatched Plain Sight: BOBIGNY, France\\\\u2014Three days attacks ripped\\\\u2026 https://t.co/8DpJCTekyN",1
" FRN : Paris attacks: Victorian state schools banned travelling France: All Victorian state schools have\\\\u2026 https://t.co/BeVyYiRbk0",1
" FRN : France Mourn Paris Attack Dead: Paris: France Friday mourn 130 people killed November\\\\u2026 https://t.co/P8hyseJL5C",3
" FRN : Paris attacks: France hold service weeks massacre: France hold national memorial service\\\\u2026 https://t.co/RPMHPBQw8d",3
" FRN : Paris Attacks 2015: France To Mourn Victims, Brussels Reduces Threat Level: France Friday mourn the\\\\u2026 https://t.co/xopkNoaOuB",1
" FRN : Paris Attacks: France Launches Fresh Airstrikes On ISIS Targets In Syrian City: President Barack Obama\\\\u2026 https://t.co/YFdQhsPoB8",1
" FRN : Paris attacks: Sarkozy shifts right swipe multiculturalism: At centre-right opposition leader's\\\\u2026 https://t.co/U5SUfYMAvP",3
" FRN : France remember Paris attack victims: France mourn 130 people killed November 13 Paris\\\\u2026 https://t.co/i2ZUNELQn3",1
" FRN : Paris attacks: France hold service weeks massacre: Three attackers blew up\\\\u2026 https://t.co/iJSoDOdsa6",3
" FRN : France pays homage victims Paris attacks: French President Fran\\\\u00e7ois Hollande leading solemn\\\\u2026 https://t.co/tMBRUXyq7n",3
" #PrayForParis #Architecture #Art #BlackAndWhite #BW #DuncanLovesPhotography #Photography\\\\u2026 https://t.co/qho21cO50b",1
" #paris #jesuisparis #prayforparis #photo #huaweishot @ H\\\\u00f4tel Invalides https://t.co/ZOLr6RCbXk",3
" FRN : France remembers Paris terror victims, President beats war drums ISIS: (CNN) All France,\\\\u2026 https://t.co/Nn9kxkVf6K",2
" FRN : Paris attacks: France hold service weeks attacks: Friday's service central Paris, capital\\\\u2026 https://t.co/dOB73EBjET",3
" FRN : Hollande lead France's solemn ceremony mourn Paris attacks victims: Paris: France mourn 130\\\\u2026 https://t.co/POEjIMtyF5",1
" FRN : France mourn Paris terror attack victims: France Friday mourn 130 people killed the\\\\u2026 https://t.co/0M45PzBmHA",1
" FRN : Live: France honours victims Paris terror attacks: France paying homage 130 victims the\\\\u2026 https://t.co/KGkLFOL2Z5",2
" FRN : Paris attacks: Survivors victims' families attend memorial ceremony - live: Singers Paris Opera\\\\u2026 https://t.co/yJRPDrAtCz",1
" FRN : Paris attacks: France hold memorial service honour 130 victims: A national memorial service those\\\\u2026 https://t.co/S7snNbJOYp",3
" FRN : Paris attacks: France holds national day mourning: Two weeks attack killed 130 people,\\\\u2026 https://t.co/NXlpEmx4dP",1
" FRN : Hollande leads French mourning Paris attacks dead: France Friday mourned 130 people killed the\\\\u2026 https://t.co/1XMC8A13j5",3
" FRN : Will destroy army fanatics responsible Paris attacks: France PM: Will destroy army fanatics\\\\u2026 https://t.co/J4GELpjFgG",1
" FRN : Paris holds memorial remember victims November 13 terror attacks - latest: France do\\\\u2026 https://t.co/twzdc49E08",2
" FRN : France mourns victims Paris terrorist attacks: They gathered chill, grey morning pay homage to\\\\u2026 https://t.co/LMzKzJSBCl",1
" FRN : France remembers Paris attack victims: France Friday holding memorial service 130 people\\\\u2026 https://t.co/VTHd5zL6Ul",1
" FRN : France Mourns Victims Paris Attacks: France holding solemn memorial service Friday mark weeks\\\\u2026 https://t.co/IsZLTyNZnG",3
" FRN : 2 Weeks After Paris Attacks, France Holds National Day Of Mourning: France paying homage died\\\\u2026 https://t.co/2SmZMz773e",1
" FRN : France honors attack victims city subdued mourning: From left, Paris mayor Anne Hidalgo, French\\\\u2026 https://t.co/HhifO5gXjQ",3
" FRN : Paris Attacks 2015: France Mourns Victims, Brussels Reduces Threat Level: Two women pay tribute\\\\u2026 https://t.co/O12NKNk9MM",1
" FRN : France remembers 130 Paris attacks victims moving memorial: France read aloud names people\\\\u2026 https://t.co/5BwS688bmm",1
" FRN : France pays tribute victims Paris terror attacks: A national memorial service held France\\\\u2026 https://t.co/FUQXG6CWI0",3
" FRN : France holds solemn ceremony victims Paris attacks: France held solemn ceremony Thursday the\\\\u2026 https://t.co/UklPKPNmem",1
" FRN : Paris attacks: Paris attacks .... This service include material Agence France-Presse (AFP), APTN,\\\\u2026 https://t.co/gRlWghS2Ft",2
" FRN : France pays tribute Paris attack victims: A national memorial service held France honour\\\\u2026 https://t.co/H0u4422cNF",1
" FRN : France holds solemn ceremony victims Paris attacks: French President Francois Hollande delivers a\\\\u2026 https://t.co/0sWvj0bh9t",3
" FRN : France commemorates victims terrorist attacks Paris: French President Francois Hollande speaks a\\\\u2026 https://t.co/GDJgU2kDgf",3
" FRN : Paris attack survivors stretchers attend France memorial ceremony: Windows draped French flags\\\\u2026 https://t.co/McB75xSSvx",3
" FRN : French Media Dedicates Coverage To Emotional Memorial Service For Victims Of Paris Attacks: Black Friday took\\\\u2026 https://t.co/Trjg3DZcjF",1
" FRN : Paris Attacks: France Focused On 'Eradicating' ISIS In Syria; Germany Arrests Suspect Over ...: A man holding\\\\u2026 https://t.co/XfFmQ1ZG4R",2
" FRN : France pays tribute victims Paris attacks: PARIS France paid tribute Friday 130 young\\\\u2026 https://t.co/R09EccTbYG",3
" FRN : France pays tribute victims Paris attacks: France paid tribute Friday 130 young people\\\\u2026 https://t.co/CowyQYan5A",3
" FRN : French President Pledges 'Destroy Army Fanatics' Responsible Paris Terror Attack: PARIS\\\\u2026 https://t.co/nKIquhlbxb",2
" FRN : France's Hollande pays homage youth Paris attacks memorial: French President Fran\\\\u00e7ois Hollande on\\\\u2026 https://t.co/jR6049uojM",3
" FRN : Wounded survivors Paris attacks gather remembrance ceremony: At solemn national ceremony to\\\\u2026 https://t.co/HqTaCYkHxE",1
" FRN : France Holds Memorial Service 2 Weeks After Attacks: France paid homage today died terrorist\\\\u2026 https://t.co/BVMidL4XrS",3
" FRN : France pays tribute Paris attack victims: Two weeks attacks Paris, relatives friends\\\\u2026 https://t.co/HA4UwhVrWn",3
" FRN : France pays tribute victims Paris attacks: PARIS - France paid tribute Friday 130 mostly\\\\u2026 https://t.co/bSpmQhE6T1",3
" FRN : France Honors Victims Paris Terrorist Attacks: PARIS\\\\u2014French President Fran\\\\u00e7ois Hollande led tribute\\\\u2026 https://t.co/RWyOtxRtNC",3
" FRN : Hollande, French Officials Mourn Victims Paris Attacks: Somber locked-down ceremony held Invalides\\\\u2026 https://t.co/rAh9No0OmW",3
" FRN : France, 2 Weeks After Paris Attacks, Observes National Day Mourning: LONDON \\\\u2014 France, reeling from\\\\u2026 https://t.co/nt6TdpiKjW",1
" FRN : France remembers victims Paris terrorist attacks: France remembers victims Paris terrorist\\\\u2026 https://t.co/JVp1Q0S4w4",1
" FRN : France Remembers Victims Paris Terrorist Attacks: Two weeks deadly terrorist attack in\\\\u2026 https://t.co/LOjtURg8Ij",1
" FRN : Survivors Paris attacks attend France memorial ceremony stretchers: Lying stretchers sitting in\\\\u2026 https://t.co/fNl2bZ6zEy",1
" FRN : As Paris Mourns, France honors attack victims: A subdued France paid homage Friday killed weeks\\\\u2026 https://t.co/XzUYnWujW3",1
" FRN : France honors killed Paris attacks: France paid tribute Friday 130 people killed the\\\\u2026 https://t.co/xdT1C4gsNL",3
" FRN : After The Paris Attacks, The French Flag Makes A Roaring Comeback: As France held national ceremony Friday\\\\u2026 https://t.co/6UuZCSyyLX",1
" FRN : France honors Paris terror attack victims solemn ceremony: A shaken France paused Friday honor\\\\u2026 https://t.co/xNZ4f5brvh",1
" FRN : France honors victims Paris attacks national ceremony: French President Francois Hollande presides over\\\\u2026 https://t.co/JF0OnMPhkd",3
" FRN : France 'adopt' children Paris attack victims: Some 50 children lost parents deadly\\\\u2026 https://t.co/kdFuIbXDpW",2
" FRN : Paris attacks: France remembers victims President Hollande says 'They cult death ...: The\\\\u2026 https://t.co/P0zeK6Og2b",1
" FRN : 'We sing more': With tears music, France remembers victims Paris attacks: French flags hang\\\\u2026 https://t.co/MSEPBWOey0",1
" FRN : Paris - France: Putin Seeks Map Of Forces Not To Bomb In Syria: Paris - Russian President Vladimir Putin has\\\\u2026 https://t.co/xvFhewBkdN",3
" FRN : France accepts Russian replacement police dog killed Paris attack: France Friday warmly accepted\\\\u2026 https://t.co/31szfjzFzm",3
" FRN : France accepts Russian replacement Diesel, police dog killed Paris terror attack: France accepted\\\\u2026 https://t.co/g9DBJW8rly",3
" FRN : Nearly 1000 'security risks' denied entry France Paris attacks: Strasbourg (France) (AFP) - Nearly\\\\u2026 https://t.co/k5jxHB9BXH",1
" FRN : These moving pictures France solidarity national day mourning Paris terror attack ...:\\\\u2026 https://t.co/oF488JPQfF",1
" FRN : Belgium extends custody French national Paris attacks: A Belgian court Friday announced a\\\\u2026 https://t.co/lZvIQ3wsQY",2
" Live Fr\\\\u00f3m parc princes #psg #paris #prayforparis #photographer @ Parc Des Princes https://t.co/Gm1lujiih0",3
" Psg vs estac #psg #paris #prayforparis #photographer #prayforparis @ Parc Des Princes https://t.co/gGvEvzAfkn",3
" #paris #psg #photographer #prayforparis #jesuisparis #photographer @ Parc Des Princes https://t.co/Xc7e8DHsMZ",3
" #psg #photographer #jesuisparis #prayforparis #photographer #huawei #huaweishot @ Parc Des Princes https://t.co/ZZqtdaMJh9",3
" Psg vs Troyes #psg #huawei #jesuisparis #prayforparis #huaweishot @ Parc Des Princes https://t.co/5luTkJTRNZ",3
" #psg #jesuisparis #prayforparis #paris #huawei #huaweishot @ Parc Des Princes https://t.co/PpEK1K3Kui",3
" #psg #paris #prayforparis #jesuisparis #huawei #huaweishot #photo # @ Parc Des Princes https://t.co/49WqQqFJcA",3
" #psg #huaweishot #huawei #jesuisparis #prayforparis #paris #parcdesprinces #photo @ Parc Des Princes https://t.co/BDo3ObSXl7",3
" FRN : France hails 130 victims Paris terrorist attacks: PARIS \\\\u2014 A subdued France paid homage Friday those\\\\u2026 https://t.co/bqI19OkE4k",1
" FRN : Paris Terror Attacks Mastermind Abdelhamid Abaaoud Planned More Attacks On Jews, Schools: Abdelhamid Abaaoud,\\\\u2026 https://t.co/dmGygy8NFZ",3
" FRN : Nearly 1000 people denied entry France Paris attacks: STRATSBOURG, Nov 28- Nearly 1,000 people\\\\u2026 https://t.co/F92E9IGV43",1
" FRN : 1000 barred France border controls place Paris attacks: Nearly 1,000 people been\\\\u2026 https://t.co/et9SzXUvV1",1
" FRN : Nearly 1000 prevented entering France Paris attacks: Nearly 1,000 people stopped from\\\\u2026 https://t.co/ThJGZNhiLl",3
" FRN : France denied entry nearly 1000 people Paris terror attacks: STRASBOURG, France (Reuters) -\\\\u2026 https://t.co/8cdsKgFtXb",1
" FRN : Nearly 1000 people denied entry France Paris attacks: Interior minister: Under three-month state\\\\u2026 https://t.co/ao2MjpB3eU",1
" FRN : Since Paris Attacks, France Bars Entry Nearly 1000: French Interior Minister Bernard Cazeneuve says that\\\\u2026 https://t.co/2BjVjXWBwq",1
" FRN : Nearly 1000 'security risks' denied entry France Paris attacks: They prevented entering\\\\u2026 https://t.co/oSf0jPrdHS",1
" FRN : French president, activists gear climate talks amid post-attacks security: PARIS -- French President\\\\u2026 https://t.co/fzMaXRyk6e",1
" FRN : Deadly terror attacks France galvanize world leaders Paris COP21 begins: PARIS -- The deadly terror\\\\u2026 https://t.co/aeJWZ36f9e",3
" FRN : France denies entry nearly 1000 'security risks' Paris attacks: File: France denied nearly a\\\\u2026 https://t.co/0d8q7rEALN",1
" FRN : Paris attacks ignite resurgence nationalism seen WWII: PARIS - \\\\u201cFrance destroy army of\\\\u2026 https://t.co/xdYOGCo0Jp",1
" FRN : France bans 1000 people entering Paris attacks: France denied entry 1,000 people\\\\u2026 https://t.co/QUuOqHHFmB",1
" FRN : Youngest Paris attack victim's father slams France disastrous policy: https://t.co/I8itGFsdus - The\\\\u2026 https://t.co/HAZZ6AquC6",3
" FRN : Paris Attacks: France shuts Borders Against 900 Migrants: The distraught government France, the\\\\u2026 https://t.co/cNaSiLlpBW",2
" FRN : France honors victims Paris attacks: A woman installs blue, white red candles, colours the\\\\u2026 https://t.co/yqyLTvdlt2",1
" FRN : Kerry Paris USA support France attacks: As darkness fell floodlit red,\\\\u2026 https://t.co/hZtA1uzbzV",1
" FRN : France remembers Paris attack victims: An unidentified woman grieves coffin France's Aurelie de\\\\u2026 https://t.co/5FPsb1U1LY",1
" FRN : Paris attacks: France holds national day mourning: Hollande spoke government, families of\\\\u2026 https://t.co/Qn1jQl2jBM",1
" FRN : Kerry Paris consult French leaders attack: Omar Ismail Mostefai, 29, near Paris \\\\u2013 died in\\\\u2026 https://t.co/JGUS5zFqed",2
" FRN : Kerry Paris United States support France attacks: In solidarity, British Prime\\\\u2026 https://t.co/lM50WR4Fq5",2
" 6. #BrouisIsFake 7. T\\\\u00e9l\\\\u00e9foot 8. Sondage BVA 9. Bon Dimanche 10. JOUR DE MATCH 2015/11/29 11:33 CET #trndnl https://t.co/iQIQ3mQZoL",3
" @Carla_Styles30 1st mention #BrouisIsFake appears TL. Now Trending Topic France! #trndnl",3
" 898 users 1 474 tweets (1246 RTs) 16 minutes #BrouisIsFake Trending Topic France. #trndnl",3
" 424 335 people seen #BrouisIsFake 1st mention Trending Topic. #trndnl",3
" #Top3Apps #BrouisIsFake Twitter iPhone 54% Twitter Android 35% Twitter iPad 5%",2
" The tweet impact #BrouisIsFake Trend, published @__HORANOUTANG: https://t.co/N7cTm97OJP (47 RTs) #trndnl",3
" The 3 active users #BrouisIsFake were: @Carla_Styles30 (137 Tweets &amp; RTs) @sunarryla (53) @larryloverfr (41) \\\\u2014 #trndnl",3
" 1. #BrouisIsFake 2. #telefoot 3. Briana 4. #TrackOfTheDay 5. #LeGrandRdv 2015/11/29 11:53 CET #trndnl https://t.co/iQIQ3mQZoL",3
" 1. #BrouisIsFake 2. Briana 3. #telefoot 4. #TrackOfTheDay 5. #Climat2Paix 2015/11/29 12:14 CET #trndnl https://t.co/iQIQ3mQZoL",3
" 1. #BrouisIsFake 2. Briana 3. #telefoot 4. #TrackOfTheDay 5. #Climat2Paix 2015/11/29 12:35 CET #trndnl https://t.co/iQIQ3mQZoL",3
" 1. #BrouisIsFake 2. #telefoot 3. #lesupplement 4. #Climat2Paix 5. #TrackOfTheDay 2015/11/29 12:51 CET #trndnl https://t.co/iQIQ3mQZoL",3
" FRN : Survivors Paris attacks attend France memorial ceremony stretchers: Three shirts colors the\\\\u2026 https://t.co/iTBz23qpdy",2
" 1. #BrouisIsFake 2. #lesupplement 3. #TrackOfTheDay 4. #Climat2Paix 5. #telefoot 2015/11/29 13:13 CET #trndnl https://t.co/iQIQ3mQZoL",3
" 1. #BrouisIsFake 2. #lesupplement 3. #Climat2Paix 4. #TOTCHE 5. #TrackOfTheDay 2015/11/29 13:36 CET #trndnl https://t.co/iQIQ3mQZoL",3
" 1. #BrouisIsFake 2. #lesupplement 3. #Climat2Paix 4. #TOTCHE 5. #telefoot 2015/11/29 13:54 CET #trndnl https://t.co/iQIQ3mQZoL",3
" Visita al #bataclan #paris #prayforparis #notinmyname #solesin #france @ Le Bataclan https://t.co/VKJ2oY7Wep",2
" Visita al #bataclan #paris #prayforparis #notinmyname #france @ Le Bataclan https://t.co/4aVhoDx2TT",3
" Visita al #bataclan #paris #prayforparis #notinmyname #solesin #france #italians @ Le Bataclan https://t.co/EQeFpOX7gy",2
" FRN : France honors killed Paris attacks: President Francois Hollande vowed Friday France would\\\\u2026 https://t.co/sKvUzrZmUo",3
" FRN : Away fans banned France Paris attacks: The French government imposed state emergency\\\\u2026 https://t.co/3wz9LiJ86d",1
" FRN : France honors killed Paris attacks: Stephan Oberreit, head Amnesty International France, said the\\\\u2026 https://t.co/mMJZ5Huued",1
" FRN : Terror attacks Paris means visitor numbers Europe tumble France lost ...: The\\\\u2026 https://t.co/5cXZ8SBPZQ",1
" FRN : Which Is Safer: Paris, France Paris, Texas: In wake deadly Paris terrorist attacks, NPR's\\\\u2026 https://t.co/e5U3dV0vjh",1
" I m back. #cop21 #huaweishot #prayforparis #paris #jesuisparis @ H\\\\u00f4tel Ville, Paris https://t.co/6zWx8UYFry",3
" FRN : Paris terror attack ringleader 'bought detonators fireworks shop': A ringleader Paris terror\\\\u2026 https://t.co/cTOlTZOH9v",3
" FRN : French attitudes migration relatively unmoved Paris attacks: In stark contrast state public\\\\u2026 https://t.co/g012BkmfXz",3
" FRN : France honors victims Paris attacks national ceremony: France's military provided images of\\\\u2026 https://t.co/C8Rt4C4qlH",1
" Did know #BrouisIsFake Trending Topic Sunday 29 4 hours Paris? https://t.co/D29QqUqtn6 #trndnl",3
" FRN : Paris attacks: 'Hero Stade France' averted massacre football stadium: The terrorist attacks on\\\\u2026 https://t.co/W9Hq3v6fTh",1
" FRN : When French police turned Algerian protesters \\\\u2013 matters Paris attacks: French police\\\\u2026 https://t.co/FPww8v6Qz3",2
" FRN : France holds memorial Paris victims: Wheelchair-bound victims Paris attacks attended solemn\\\\u2026 https://t.co/BK1HYunRvw",1
" Did know #BrouisIsFake Trending Topic Sunday 29 7 hours France? https://t.co/U1IZvNJy29 #trndnl",3
" FRN : Pres. Obama honors Paris attack victims France climate talks: President Barack Obama, right, and\\\\u2026 https://t.co/dVgpHhzymL",3
" FRN : Obama honors Paris attack victims climate change conference: Obama, French President Francois Hollande\\\\u2026 https://t.co/kA4h7caGR8",2
" FRN : Multiple Attacks In Paris Killed 129 People; French President Francois: French police trying verify\\\\u2026 https://t.co/0FSj8QuxbS",3
" FRN : Barack Obama, French officials visit concert hall hit Paris terror attacks: PARIS \\\\u2014 It been\\\\u2026 https://t.co/9dd0zoZk7r",2
" FRN : Obama, Hollande pay respects Paris attack victims: US President Barack Obama pays respects French\\\\u2026 https://t.co/eOaE2c79g1",2
" #cop21 ##paris ##prayforparis #huaweishot #huawei @ A\\\\u00e9roport Paris - Le Bourget (LBG) https://t.co/rpLEjWbAoQ",3
" #cop21 #huaweishot #paris #prayforparis #huaweishot #photo # @ Le Bourget, France https://t.co/034sSifYbf",3
" #cop21 #paris #changetheclimate #prayforparis #huaweishot #photo @ A\\\\u00e9roport Paris - Le Bourget (LBG) https://t.co/9sACVRtFmT",3
